Year,Month,Day,State,Magnitude
1964,3,28,Alaska,9.2
1965,2,4,Alaska,8.7
1957,3,9,Alaska,8.6
1938,11,10,Alaska,8.2
1946,4,1,Alaska,8.1
1899,9,10,Alaska,8
1787,5,2,Puerto Rico,8
2002,11,3,Alaska,7.9
1996,6,10,Alaska,7.9
1986,5,7,Alaska,7.9
1899,9,4,Alaska,7.9
1868,4,3,Hawaii,7.9
1857,1,9,California,7.9
2003,11,17,Alaska,7.8
1987,11,30,Alaska,7.8
1929,3,7,Alaska,7.8
1906,4,18,California,7.8
1892,2,24,California,7.8
1988,3,6,Alaska,7.7
1958,7,10,Alaska,7.7
1900,10,9,Alaska,7.7
1975,2,2,Alaska,7.6
1972,7,30,Alaska,7.6
1979,2,28,Alaska,7.5
1943,11,3,Alaska,7.4
1872,3,26,California,7.4
1992,6,28,California,7.3
1965,3,30,Alaska,7.3
1959,8,18,Montana,7.3
1958,4,7,Alaska,7.3
1952,7,21,California,7.3
1937,7,22,Alaska,7.3
1922,1,31,California,7.3
1904,8,27,Alaska,7.3
1886,9,1,South Carolina,7.3
1873,11,23,California,7.3
2007,12,19,Alaska,7.2
2005,6,15,California,7.2
1992,4,25,California,7.2
1980,11,8,California,7.2
1975,11,29,Hawaii,7.2
1947,10,16,Alaska,7.2
1932,12,21,Nevada,7.2
1923,1,22,California,7.2
1912,7,7,Alaska,7.2
2003,3,17,Alaska,7.1
1999,10,16,California,7.1
1957,3,14,Alaska,7.1
1957,3,9,Alaska,7.1
1954,12,16,Nevada,7.1
1953,1,5,Alaska,7.1
1949,4,13,Washington,7.1
1940,5,19,California,7.1
1934,5,4,Alaska,7.1
1927,11,4,California,7.1
1927,10,24,Alaska,7.1
1915,10,3,Nevada,7.1
1901,12,31,Alaska,7.1
1812,12,21,California,7.1
1994,9,1,California,7
1991,8,17,California,7
1966,8,7,Alaska,7
1957,3,16,Alaska,7
1957,3,12,Alaska,7
1910,9,9,Alaska,7
1908,5,15,Alaska,7
1899,9,23,Alaska,7
1899,4,16,California,7
1868,3,29,Hawaii,7
1823,6,2,Hawaii,7
2003,6,23,Alaska,6.9
1989,10,18,California,6.9
1983,10,28,Idaho,6.9
1951,8,21,Hawaii,6.9
1812,12,8,California,6.9
2005,6,14,Alaska,6.8
2004,6,28,Alaska,6.8
2001,2,28,Washington,6.8
1954,12,16,Nevada,6.8
1954,8,24,Nevada,6.8
1938,1,23,Hawaii,6.8
1925,6,29,California,6.8
1918,4,21,California,6.8
1910,8,5,Oregon,6.8
1898,4,15,California,6.8
1872,12,15,Washington,6.8
1871,2,20,Hawaii,6.8
1868,10,21,California,6.8
1838,6,,California,6.8
2007,8,2,Alaska,6.7
2006,10,15,Hawaii,6.7
2002,10,23,Alaska,6.7
1994,1,17,California,6.7
1987,11,24,California,6.7
1983,11,16,Hawaii,6.7
1899,12,25,California,6.7
2008,5,2,Alaska,6.6
2008,4,16,Alaska,6.6
2005,6,17,California,6.6
2003,12,22,California,6.6
2003,2,19,Alaska,6.6
1971,2,9,California,6.6
1954,7,6,Nevada,6.6
1934,3,12,Utah,6.6
1925,6,28,Montana,6.6
1895,10,31,Missouri,6.6
1882,11,8,Colorado,6.6
2010,1,10,California,6.5
2007,8,15,Alaska,6.5
1992,6,28,California,6.5
1987,11,24,California,6.5
1965,4,29,Washington,6.5
1959,8,18,Wyoming,6.5
1954,12,21,California,6.5
1934,1,30,Nevada,6.5
1929,10,6,Hawaii,6.5
1911,7,1,California,6.5
1865,10,8,California,6.5
1836,6,10,California,6.5
2007,12,26,Alaska,6.4
1983,5,2,California,6.4
1979,10,15,California,6.4
1933,3,11,California,6.4
1932,6,6,California,6.4
1901,3,3,California,6.4
1892,4,21,California,6.4
1892,4,19,California,6.4
2003,1,16,Oregon,6.3
1947,11,23,Montana,6.3
1935,10,19,Montana,6.3
1915,6,23,California,6.3
1898,3,31,California,6.3
1897,6,20,California,6.3
1890,2,24,California,6.3
1843,1,5,Arkansas,6.3
1992,4,23,California,6.2
1986,7,21,California,6.2
1984,4,24,California,6.2
1980,5,25,California,6.2
1975,3,28,Idaho,6.2
1973,4,26,Hawaii,6.2
1986,7,8,California,6.1
1975,6,30,Wyoming,6.1
1966,6,28,California,6.1
1944,7,12,Idaho,6.1
1934,6,8,California,6.1
1926,10,22,California,6.1
1922,3,10,California,6.1
2008,2,21,Nevada,6
2004,9,28,California,6
1993,9,21,Oregon,6
1980,5,27,California,6
1935,10,31,Montana,6
1987,10,1,California,5.9
1966,9,12,California,5.9
1935,10,12,Montana,5.9
1897,5,31,Virginia,5.9
2011,8,23,Virginia,5.8
2009,1,24,Alaska,5.8
1984,11,23,California,5.8
1980,1,27,California,5.8
1980,1,24,California,5.8
1975,8,1,California,5.8
1952,8,22,California,5.8
1931,8,16,Texas,5.8
1992,6,29,Nevada,5.7
1979,8,6,California,5.7
1969,10,2,California,5.7
2011,11,6,Oklahoma,5.6
2007,10,31,California,5.6
2005,7,26,Montana,5.6
1992,9,2,Utah,5.6
